Date,Close/Last,Volume,Open,High,Low
12/20/2023,$68.40,8177594,$69.50,$72.9897,$68.38
12/19/2023,$69.43,3899291,$69.23,$70.5499,$68.81
12/18/2023,$68.87,4744779,$69.96,$70.0915,$68.02
12/15/2023,$71.03,7058443,$70.50,$71.89,$69.29
12/14/2023,$70.735,11835040,$66.52,$71.79,$66.37
12/13/2023,$65.61,7023954,$65.41,$66.50,$62.75
12/12/2023,$64.71,5711703,$65.00,$66.25,$63.28
12/11/2023,$64.89,7625495,$67.26,$67.26,$64.29
12/08/2023,$67.23,18815930,$62.44,$67.4399,$62.235
12/07/2023,$62.44,3139112,$61.52,$62.97,$61.20
12/06/2023,$61.06,5434419,$64.35,$64.69,$60.89
12/05/2023,$63.59,6666904,$61.73,$64.349,$60.37
12/04/2023,$61.93,5012171,$63.90,$63.90,$60.80
12/01/2023,$63.90,5446185,$61.51,$64.43,$60.91
11/30/2023,$61.50,4833273,$62.58,$63.50,$60.91
11/29/2023,$62.21,3642374,$62.52,$63.41,$61.69
11/28/2023,$61.92,4106892,$60.84,$62.68,$60.79
11/27/2023,$61.00,6681872,$63.05,$63.69,$60.99
11/24/2023,$63.88,6004929,$61.50,$64.20,$61.41
11/22/2023,$61.76,15119680,$59.00,$64.92,$59.00
11/21/2023,$58.66,5615415,$58.00,$58.90,$56.43
11/20/2023,$58.68,7808006,$55.35,$59.24,$55.27
11/17/2023,$54.99,3443898,$55.11,$55.74,$54.26
11/16/2023,$54.23,3291412,$55.51,$55.6799,$53.47
11/15/2023,$55.43,5821817,$54.40,$56.03,$54.08
11/14/2023,$53.43,3541284,$53.00,$53.50,$52.28
11/13/2023,$51.69,4524968,$52.20,$52.50,$50.57
11/10/2023,$52.27,5803942,$52.00,$52.50,$51.01
11/09/2023,$51.58,15354470,$51.00,$52.05,$49.82
11/08/2023,$54.40,6128231,$55.27,$55.56,$53.39
11/07/2023,$55.27,4534176,$53.45,$56.10,$53.26
11/06/2023,$53.10,2328270,$53.98,$54.46,$52.52
11/03/2023,$53.49,2545035,$52.82,$53.86,$52.25
11/02/2023,$52.82,4752687,$51.40,$53.56,$51.30
11/01/2023,$50.52,3066410,$49.61,$50.52,$48.30
10/31/2023,$49.29,3248684,$47.90,$49.66,$47.12
10/30/2023,$47.90,3677661,$49.51,$49.90,$47.28
10/27/2023,$49.09,2611336,$51.26,$51.33,$48.81
10/26/2023,$50.17,3555300,$50.06,$51.11,$49.50
10/25/2023,$49.44,4518810,$52.70,$52.79,$49.31
10/24/2023,$52.37,7211721,$52.00,$52.8917,$51.05
10/23/2023,$50.21,9979286,$47.22,$51.88,$46.50
10/20/2023,$47.87,8089129,$49.74,$49.74,$46.50
10/19/2023,$49.74,4553360,$52.00,$52.70,$49.53
10/18/2023,$51.90,2268871,$52.28,$52.70,$51.275
10/17/2023,$52.29,2549709,$51.00,$52.76,$50.65
10/16/2023,$52.09,3316789,$51.04,$52.35,$51.04
10/13/2023,$50.78,6462484,$52.50,$52.56,$50.00
10/12/2023,$51.85,7323145,$54.75,$54.75,$51.41
10/11/2023,$54.68,4454722,$56.17,$56.33,$54.38
10/10/2023,$55.71,5138144,$55.24,$55.86,$54.20
10/09/2023,$54.25,7197706,$54.40,$55.80,$53.37
10/06/2023,$54.08,4009236,$52.72,$54.21,$51.55
10/05/2023,$52.51,2984420,$53.90,$53.90,$52.09
10/04/2023,$53.46,6206459,$51.97,$53.81,$51.31
10/03/2023,$51.57,4687735,$51.96,$52.235,$50.80
10/02/2023,$52.26,8857088,$53.475,$54.1899,$51.91
09/29/2023,$53.52,7810025,$56.21,$56.79,$53.08
09/28/2023,$55.49,8765755,$53.50,$56.50,$52.86
09/27/2023,$52.99,6866740,$54.40,$54.4099,$51.7894
09/26/2023,$53.52,6283544,$53.93,$54.53,$52.70
09/25/2023,$54.44,12896540,$51.12,$54.50,$50.02
09/22/2023,$51.32,8430168,$52.90,$52.90,$50.3548
09/21/2023,$52.16,15010920,$51.78,$52.80,$49.85
09/20/2023,$52.91,16369470,$55.17,$55.40,$51.52
09/19/2023,$55.17,18308640,$56.25,$56.78,$53.88
09/18/2023,$58.00,34571900,$57.95,$58.7407,$55.02
09/15/2023,$60.75,74753090,$68.63,$69.00,$60.75
09/14/2023,$63.59,130534500,$56.10,$66.28,$55.54
